Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1961","1961","An","942152676","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1962","1962","An","957151197","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1963","1963","An","970360499","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1964","1964","An","987553424","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1965","1965","An","1008885923","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1966","1966","An","1027726723","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1967","1967","An","1049754538","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1968","1968","An","1064640609","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1969","1969","An","1069858656","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1970","1970","An","1081612612","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1971","1971","An","1096619481","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1972","1972","An","1119301632","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1973","1973","An","1138695751","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1974","1974","An","1166743173","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1975","1975","An","1187904950","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1976","1976","An","1199654331","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1977","1977","An","1204674349","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1978","1978","An","1206200098","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1979","1979","An","1211050124","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1980","1980","An","1216999022","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1981","1981","An","1228567891","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1982","1982","An","1242261606","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1983","1983","An","1249396606","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1984","1984","An","1255267364","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1985","1985","An","1259990132","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1986","1986","An","1266626012","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1987","1987","An","1266556754","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1988","1988","An","1272117043","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1989","1989","An","1289160632","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1990","1990","An","1296612992","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1991","1991","An","1301599191","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1992","1992","An","1309789241","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1993","1993","An","1310408044","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1994","1994","An","1321016033","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1995","1995","An","1330173992","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1996","1996","An","1332831163","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1997","1997","An","1312472303","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1998","1998","An","1313223856","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","1999","1999","An","1316500920","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2000","2000","An","1319963140","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2001","2001","An","1320857716","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2002","2002","An","1332940925","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2003","2003","An","1346093270","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2004","2004","An","1360241190","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2005","2005","An","1375230868","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2006","2006","An","1391698571","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2007","2007","An","1402684633","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2008","2008","An","1415318507","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2009","2009","An","1409985008","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2010","2010","An","1411539659","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2011","2011","An","1415783074","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2012","2012","An","1427214251","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2013","2013","An","1431840326","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2014","2014","An","1439387463","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2015","2015","An","1451746192","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2016","2016","An","1470601087","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2017","2017","An","1477355273","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2018","2018","An","1486525643","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2019","2019","An","1503528770","A","Official figure"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2020","2020","An","1523293988","E","Estimated value"
"QCL","Crops and livestock products","001","World","5111","Stocks","02111","Cattle","2021","2021","An","1529295983","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1961","1961","1000 An","3906293","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1962","1962","1000 An","4048348","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1963","1963","1000 An","4162765","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1964","1964","1000 An","4230855","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1965","1965","1000 An","4349290","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1966","1966","1000 An","4445259","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1967","1967","1000 An","4666087","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1968","1968","1000 An","4822761","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1969","1969","1000 An","4988044","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1970","1970","1000 An","5209227","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1971","1971","1000 An","5380645","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1972","1972","1000 An","5538378","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1973","1973","1000 An","5661863","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1974","1974","1000 An","5803413","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1975","1975","1000 An","5892705","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1976","1976","1000 An","6061103","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1977","1977","1000 An","6258470","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1978","1978","1000 An","6587041","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1979","1979","1000 An","6923385","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1980","1980","1000 An","7218000","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1981","1981","1000 An","7513308","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1982","1982","1000 An","7747560","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1983","1983","1000 An","7958159","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1984","1984","1000 An","8274168","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1985","1985","1000 An","8613524","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1986","1986","1000 An","9058449","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1987","1987","1000 An","9559091","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1988","1988","1000 An","9930843","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1989","1989","1000 An","10252152","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1990","1990","1000 An","10619722","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1991","1991","1000 An","10687408","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1992","1992","1000 An","11066763","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1993","1993","1000 An","11558451","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1994","1994","1000 An","12104379","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1995","1995","1000 An","12422581","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1996","1996","1000 An","13091075","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1997","1997","1000 An","13702350","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1998","1998","1000 An","12734072","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","1999","1999","1000 An","13212312","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","2000","2000","1000 An","13908104","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","2001","2001","1000 An","14447185","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","2002","2002","1000 An","15605203","E","Estimated value"
"QCL","Crops and livestock products","001","World","5112","Stocks","02151","Chickens","2003","2003","1000 An","15667533","E","Estimated value"
